Subject,Phase,State,Choice,Reward,Stay,Trial,Task,k,t
0,learn,high,0,1,-1,0,1,0,1
0,learn,high,1,1,0,1,1,1,3
0,learn,high,0,0,0,2,1,2,5
0,learn,low,0,0,-1,0,1,0,7
0,learn,low,0,0,1,1,1,1,9
0,learn,low,0,0,1,2,1,2,11
0,learn,low,0,1,1,3,1,3,13
0,learn,low,0,0,1,4,1,4,15
0,learn,high,1,0,0,3,1,3,17
0,learn,high,0,0,0,4,1,4,19
0,learn,high,0,0,1,5,1,5,21
0,learn,low,1,1,0,5,1,5,23
0,learn,high,0,1,1,6,1,6,25
0,learn,low,1,1,1,6,1,6,27
0,learn,high,1,0,0,7,1,7,29
0,learn,low,1,1,1,7,1,7,31
0,learn,low,0,0,0,8,1,8,33
0,learn,high,0,0,0,8,1,8,35
0,learn,high,0,0,1,9,1,9,37
0,learn,low,1,1,0,9,1,9,39
0,learn,low,0,0,0,10,1,10,41
0,learn,high,0,1,1,10,1,10,43
0,learn,high,0,0,1,11,1,11,45
0,learn,high,0,0,1,12,1,12,47
0,learn,low,1,1,0,11,1,11,49
0,learn,high,0,0,1,13,1,13,51
0,learn,high,0,0,1,14,1,14,53
0,learn,low,1,0,1,12,1,12,55
0,learn,low,1,1,1,13,1,13,57
0,learn,low,0,0,0,14,1,14,59
0,reversal,high,0,0,-1,15,1,15,61
0,reversal,high,1,1,0,16,1,16,63
0,reversal,high,1,0,1,17,1,17,65
0,reversal,high,1,1,1,18,1,18,67
0,reversal,high,1,1,1,19,1,19,69
0,reversal,low,1,0,-1,15,1,15,71
0,reversal,low,1,1,1,16,1,16,73
0,reversal,low,1,1,1,17,1,17,75
0,reversal,low,0,0,0,18,1,18,77
0,reversal,low,0,0,1,19,1,19,79
0,reversal,high,1,0,1,20,1,20,81
0,reversal,high,1,1,1,21,1,21,83
0,reversal,low,0,0,1,20,1,20,85
0,reversal,high,1,1,1,22,1,22,87
0,reversal,low,1,1,0,21,1,21,89
0,reversal,low,0,0,0,22,1,22,91
0,reversal,high,1,1,1,23,1,23,93
0,reversal,low,1,1,0,23,1,23,95
0,reversal,low,0,1,0,24,1,24,97
0,reversal,high,1,1,1,24,1,24,99
0,reversal,high,1,1,1,25,1,25,101
0,reversal,low,1,1,0,25,1,25,103
0,reversal,low,1,1,1,26,1,26,105
0,reversal,high,1,1,1,26,1,26,107
0,reversal,high,1,0,1,27,1,27,109
0,reversal,high,1,1,1,28,1,28,111
0,reversal,low,1,1,1,27,1,27,113
0,reversal,high,1,1,1,29,1,29,115
0,reversal,low,1,1,1,28,1,28,117
0,reversal,low,1,0,1,29,1,29,119
1,learn,low,1,1,-1,0,1,0,1
1,learn,high,0,0,-1,0,1,0,3
1,learn,low,0,0,0,1,1,1,5
1,learn,low,0,0,1,2,1,2,7
1,learn,high,0,0,1,1,1,1,9
1,learn,high,1,1,0,2,1,2,11
1,learn,low,0,1,1,3,1,3,13
1,learn,high,1,1,1,3,1,3,15
1,learn,high,1,0,1,4,1,4,17
1,learn,low,1,1,0,4,1,4,19
1,learn,high,1,1,1,5,1,5,21
1,learn,low,1,1,1,5,1,5,23
1,learn,low,0,0,0,6,1,6,25
1,learn,high,1,0,1,6,1,6,27
1,learn,low,0,0,1,7,1,7,29
1,learn,high,0,0,0,7,1,7,31
1,learn,high,0,0,1,8,1,8,33
1,learn,low,1,0,0,8,1,8,35
1,learn,high,0,0,1,9,1,9,37
1,learn,low,1,1,1,9,1,9,39
1,learn,low,1,1,1,10,1,10,41
1,learn,low,1,0,1,11,1,11,43
1,learn,high,0,0,1,10,1,10,45
1,learn,low,1,1,1,12,1,12,47
1,learn,high,1,1,0,11,1,11,49
1,learn,high,1,1,1,12,1,12,51
1,learn,high,0,0,0,13,1,13,53
1,learn,high,1,1,0,14,1,14,55
1,learn,low,1,1,1,13,1,13,57
1,learn,low,1,1,1,14,1,14,59
1,reversal,low,0,1,-1,15,1,15,61
1,reversal,low,0,0,1,16,1,16,63
1,reversal,high,0,0,-1,15,1,15,65
1,reversal,low,0,0,1,17,1,17,67
1,reversal,high,0,0,1,16,1,16,69
1,reversal,high,0,0,1,17,1,17,71
1,reversal,low,0,0,1,18,1,18,73
1,reversal,high,1,0,0,18,1,18,75
1,reversal,high,1,1,1,19,1,19,77
1,reversal,low,0,0,1,19,1,19,79
1,reversal,low,0,0,1,20,1,20,81
1,reversal,high,1,1,1,20,1,20,83
1,reversal,low,0,0,1,21,1,21,85
1,reversal,low,0,0,1,22,1,22,87
1,reversal,high,1,1,1,21,1,21,89
1,reversal,high,0,0,0,22,1,22,91
1,reversal,low,0,1,1,23,1,23,93
1,reversal,high,1,0,0,23,1,23,95
1,reversal,high,1,1,1,24,1,24,97
1,reversal,low,1,0,0,24,1,24,99
1,reversal,high,1,0,1,25,1,25,101
1,reversal,high,1,1,1,26,1,26,103
1,reversal,low,1,0,1,25,1,25,105
1,reversal,high,0,0,0,27,1,27,107
1,reversal,low,0,0,0,26,1,26,109
1,reversal,low,0,1,1,27,1,27,111
1,reversal,high,1,1,0,28,1,28,113
1,reversal,low,0,0,1,28,1,28,115
1,reversal,low,0,0,1,29,1,29,117
1,reversal,high,1,1,1,29,1,29,119
10,learn,high,1,1,-1,0,1,0,1
10,learn,low,1,1,-1,0,1,0,3
10,learn,low,0,1,0,1,1,1,5
10,learn,high,1,1,1,1,1,1,7
10,learn,low,1,1,0,2,1,2,9
10,learn,low,1,1,1,3,1,3,11
10,learn,high,0,0,0,2,1,2,13
10,learn,high,1,0,0,3,1,3,15
10,learn,high,1,1,1,4,1,4,17
10,learn,low,1,0,1,4,1,4,19
10,learn,high,1,1,1,5,1,5,21
10,learn,low,1,1,1,5,1,5,23
10,learn,low,1,0,1,6,1,6,25
10,learn,low,1,1,1,7,1,7,27
10,learn,low,1,1,1,8,1,8,29
10,learn,high,1,1,1,6,1,6,31
10,learn,high,1,0,1,7,1,7,33
10,learn,high,1,1,1,8,1,8,35
10,learn,low,1,1,1,9,1,9,37
10,learn,high,1,1,1,9,1,9,39
10,learn,high,1,1,1,10,1,10,41
10,learn,high,0,0,0,11,1,11,43
10,learn,high,0,0,1,12,1,12,45
10,learn,low,0,0,0,10,1,10,47
10,learn,high,1,1,0,13,1,13,49
10,learn,low,0,0,1,11,1,11,51
10,learn,low,0,0,1,12,1,12,53
10,learn,low,1,1,0,13,1,13,55
10,learn,low,0,1,0,14,1,14,57
10,learn,high,1,1,1,14,1,14,59
10,reversal,high,1,1,-1,15,1,15,61
10,reversal,high,1,1,1,16,1,16,63
10,reversal,low,0,0,-1,15,1,15,65
10,reversal,low,0,0,1,16,1,16,67
10,reversal,high,0,0,0,17,1,17,69
10,reversal,low,0,1,1,17,1,17,71
10,reversal,low,0,0,1,18,1,18,73
10,reversal,high,1,0,0,18,1,18,75
10,reversal,high,0,0,0,19,1,19,77
10,reversal,low,0,0,1,19,1,19,79
10,reversal,high,1,0,0,20,1,20,81
10,reversal,high,1,1,1,21,1,21,83
10,reversal,low,1,1,0,20,1,20,85
10,reversal,high,1,1,1,22,1,22,87
10,reversal,low,0,0,0,21,1,21,89
10,reversal,low,0,0,1,22,1,22,91
10,reversal,high,0,1,0,23,1,23,93
10,reversal,low,0,0,1,23,1,23,95
10,reversal,low,0,0,1,24,1,24,97
10,reversal,high,0,0,1,24,1,24,99
10,reversal,high,1,1,0,25,1,25,101
10,reversal,low,0,0,1,25,1,25,103
10,reversal,high,1,1,1,26,1,26,105
10,reversal,low,1,1,0,26,1,26,107
10,reversal,low,1,1,1,27,1,27,109
10,reversal,high,1,1,1,27,1,27,111
10,reversal,low,0,1,0,28,1,28,113
10,reversal,low,1,1,0,29,1,29,115
10,reversal,high,1,1,1,28,1,28,117
10,reversal,high,1,0,1,29,1,29,119
11,learn,low,0,0,-1,0,1,0,1
11,learn,low,0,1,1,1,1,1,3
11,learn,low,0,0,1,2,1,2,5
11,learn,high,1,1,-1,0,1,0,7
11,learn,low,0,0,1,3,1,3,9
11,learn,low,1,1,0,4,1,4,11
11,learn,high,0,0,0,1,1,1,13
11,learn,high,1,1,0,2,1,2,15
11,learn,high,0,0,0,3,1,3,17
11,learn,high,0,0,1,4,1,4,19
11,learn,high,1,1,0,5,1,5,21
11,learn,low,1,1,1,5,1,5,23
11,learn,low,0,0,0,6,1,6,25
11,learn,high,1,0,1,6,1,6,27
11,learn,high,1,1,1,7,1,7,29
11,learn,low,0,0,1,7,1,7,31
11,learn,high,0,0,0,8,1,8,33
11,learn,low,1,1,0,8,1,8,35
11,learn,high,0,0,1,9,1,9,37
11,learn,low,1,1,1,9,1,9,39
11,learn,low,1,1,1,10,1,10,41
11,learn,low,1,1,1,11,1,11,43
11,learn,high,1,1,0,10,1,10,45
11,learn,high,0,0,0,11,1,11,47
11,learn,high,1,1,0,12,1,12,49
11,learn,low,1,1,1,12,1,12,51
11,learn,low,1,1,1,13,1,13,53
11,learn,high,1,1,1,13,1,13,55
11,learn,low,1,0,1,14,1,14,57
11,learn,high,1,0,1,14,1,14,59
11,reversal,high,0,0,-1,15,1,15,61
11,reversal,low,0,0,-1,15,1,15,63
11,reversal,high,0,0,1,16,1,16,65
11,reversal,low,0,0,1,16,1,16,67
11,reversal,high,1,1,0,17,1,17,69
11,reversal,low,1,0,0,17,1,17,71
11,reversal,low,1,1,1,18,1,18,73
11,reversal,low,1,1,1,19,1,19,75
11,reversal,high,1,1,1,18,1,18,77
11,reversal,high,0,0,0,19,1,19,79
11,reversal,high,0,0,1,20,1,20,81
11,reversal,high,0,0,1,21,1,21,83
11,reversal,low,0,1,0,20,1,20,85
11,reversal,low,1,0,0,21,1,21,87
11,reversal,high,0,0,1,22,1,22,89
11,reversal,low,0,0,0,22,1,22,91
11,reversal,high,0,1,1,23,1,23,93
11,reversal,low,0,0,1,23,1,23,95
11,reversal,high,0,0,1,24,1,24,97
11,reversal,low,0,0,1,24,1,24,99
11,reversal,low,1,0,0,25,1,25,101
11,reversal,high,0,0,1,25,1,25,103
11,reversal,high,0,0,1,26,1,26,105
11,reversal,high,0,1,1,27,1,27,107
11,reversal,high,0,0,1,28,1,28,109
11,reversal,high,0,0,1,29,1,29,111
11,reversal,low,0,0,0,26,1,26,113
11,reversal,low,1,1,0,27,1,27,115
11,reversal,low,1,1,1,28,1,28,117
11,reversal,low,1,1,1,29,1,29,119
12,learn,high,0,0,-1,0,1,0,1
12,learn,high,0,0,1,1,1,1,3
12,learn,high,0,1,1,2,1,2,5
12,learn,high,0,0,1,3,1,3,7
12,learn,low,0,0,-1,0,1,0,9
12,learn,low,0,0,1,1,1,1,11
12,learn,low,0,1,1,2,1,2,13
12,learn,low,1,1,0,3,1,3,15
12,learn,high,1,1,0,4,1,4,17
12,learn,low,1,1,1,4,1,4,19
12,learn,low,1,1,1,5,1,5,21
12,learn,low,1,1,1,6,1,6,23
12,learn,high,1,0,1,5,1,5,25
12,learn,high,1,1,1,6,1,6,27
12,learn,high,1,1,1,7,1,7,29
12,learn,high,1,1,1,8,1,8,31
12,learn,low,1,0,1,7,1,7,33
12,learn,high,1,1,1,9,1,9,35
12,learn,low,1,1,1,8,1,8,37
12,learn,low,1,1,1,9,1,9,39
12,learn,high,1,0,1,10,1,10,41
12,learn,low,1,1,1,10,1,10,43
12,learn,low,1,1,1,11,1,11,45
12,learn,high,1,1,1,11,1,11,47
12,learn,low,1,0,1,12,1,12,49
12,learn,low,1,1,1,13,1,13,51
12,learn,high,1,1,1,12,1,12,53
12,learn,high,1,1,1,13,1,13,55
12,learn,high,1,1,1,14,1,14,57
12,learn,low,1,1,1,14,1,14,59
12,reversal,high,0,0,-1,15,1,15,61
12,reversal,low,0,0,-1,15,1,15,63
12,reversal,high,0,1,1,16,1,16,65
12,reversal,high,0,0,1,17,1,17,67
12,reversal,high,1,0,0,18,1,18,69
12,reversal,low,0,1,1,16,1,16,71
12,reversal,high,1,1,1,19,1,19,73
12,reversal,low,1,1,0,17,1,17,75
12,reversal,low,1,0,1,18,1,18,77
12,reversal,low,1,1,1,19,1,19,79
12,reversal,low,1,0,1,20,1,20,81
12,reversal,high,1,0,1,20,1,20,83
12,reversal,low,1,1,1,21,1,21,85
12,reversal,high,1,1,1,21,1,21,87
12,reversal,low,1,1,1,22,1,22,89
12,reversal,low,1,1,1,23,1,23,91
12,reversal,high,1,1,1,22,1,22,93
12,reversal,low,1,1,1,24,1,24,95
12,reversal,high,1,1,1,23,1,23,97
12,reversal,high,1,1,1,24,1,24,99
12,reversal,low,1,1,1,25,1,25,101
12,reversal,high,1,0,1,25,1,25,103
12,reversal,high,1,1,1,26,1,26,105
12,reversal,low,1,1,1,26,1,26,107
12,reversal,high,1,1,1,27,1,27,109
